ID_Number,country,iso3,d_popul,d_lifeE,d_infla,d_gdpPC
00072,,,-0.3672732837933222,-0.08257408668664296,0.03832595359696949,-1.2833875282392027
00073,,,-0.3673802688829043,-0.3251223572089607,-0.03503553651622572,-0.052785107518296306
00074,,,-0.3681037375604373,-0.245598868594371,0.014663583592002918,1.6571254881297426
00075,,,-0.3686153149917874,0.15599637915712614,-0.21704389368486962,2.514338347491418
00076,,,-0.3685727768246292,0.32299896574340264,0.015935195022285575,1.3386484594318067
00077,,,-0.36795053619149903,0.16395198851422324,0.2522064875626906,0.648430767411945
00078,,,-0.23615929843926434,0.7093676988647181,0.43867284572968435,-0.5824202621740922
00079,,,-0.23774648381161503,0.9229301631638418,0.32334909854120664,-0.6145655116640754
00080,,,-0.23812149133787827,0.6180738209963904,0.08499740553490504,-0.5617342647028276
00081,,,-0.23286754794007367,0.6360065470062405,0.6601973101997999,-0.4451275994184738
00082,,,-0.22391534268625068,0.6979559641311771,-0.5888724611647765,-0.42857926885684094
00083,,,-0.21403417422557777,0.12736922745412907,-0.30450674485073975,-0.45362623143213837
00084,,,0.12752731831468864,0.16323467947382925,-0.11115187802035165,-0.6471991566678725
00085,,,0.13148976457726858,0.01977287139502868,0.08740537016084549,-0.7126268409594152
00086,,,0.13879257638722,-0.11227720195023101,0.5899278969400524,-0.7160862356400964
00087,,,0.14467547697086394,-0.22313405364748606,2.038055924028365,-0.6833148585571138
00088,,,0.1461387259539379,-0.31279768369673644,0.1582977073991033,-0.6359579357708471
00089,,,0.1422213765452625,-0.3584446226309003,-0.7589997166014922,-0.5806331339298758
00090,,,-0.299059814560847,0.24347547712881304,0.3694353515864795,-0.7340614073353218
00091,,,-0.23506753878817735,0.16395198851422324,-0.009504854637750524,-0.09243997798751068
00092,,,-0.15934016608917614,-0.4086236505020989,-0.05162077242855915,0.8047543857102681
00093,,,-0.1348560926132684,-0.3251223572089607,0.06903923415928481,1.1981793077365814
00094,,,-0.13882637485400906,0.08045069522108508,0.1510071045280146,0.514492519511256
00095,,,-0.13724094857879648,0.7325498228519969,0.1846836445774683,0.17507459745096668
00096,,,-0.3695840977611275,0.28164609956468833,0.4008861115709161,-0.941534769230505
00097,,,-0.3692874500164715,0.24745002131172333,-0.263234120747235,-0.024743578789419983
00098,,,-0.36918878065881505,-0.16209757530123264,-0.316168857059942,1.2315752985971917
00099,,,-0.36877811143602446,0.1520218349742158,-0.24327202958950567,1.900768293781741
00100,,,-0.36789728352359047,-0.08655189136519151,0.016785849701950052,0.7990672358720252
00101,,,-0.36709545506445024,-0.003050598072053258,0.39245179451180906,0.1630421857367215
00102,Austria,AUT,-0.23527591184008392,-0.16209757530123264,0.32760513231166427,-1.1854587056584658
00103,Austria,AUT,-0.2303040636560654,-0.48417259493377823,0.1320355269047998,-0.22605353429288058
00104,Austria,AUT,-0.23158388678300978,-0.8897456473638239,0.18177743278112407,1.0402972506376156
00105,Austria,AUT,-0.22998982494002823,0.6530263342374073,0.12541661458661005,1.5978183290634285
00106,Austria,AUT,-0.22430426307169724,0.8915968000811765,-0.00599550152986483,0.5827217300590894
00107,Austria,AUT,-0.22690212970885967,0.2394976724502645,-0.0323027681023766,0.006814996624473976
00108,,,-0.3571264916647929,-0.1660753799797812,0.2447240388282054,-0.7923271012380022
00109,,,-0.35780134529414503,0.41047480321945146,0.18510966201033435,-0.14547726972394015
00110,,,-0.36264302028994255,-0.07859954250373255,0.11115561201211596,0.736000308262681
00111,,,-0.36469300812754096,-0.17005318465832978,-0.0929260609356637,1.163367563468369
00112,,,-0.36371351085745046,-0.17005318465832978,0.07843140034930662,0.302298549981537
